Painting,Artist,Sale Price (in millions)
 The Card Players,Paul Cezanne,$338.4
 Bal du Moulin de la Galette,Pierre-Auguste Renoir,$78
 Mont Saint Victoire,Paul Cezanne,$100
 Le Bassin aux Nymphéas,Claude Monet,£40.9
" Rideau, Cruchon et Compotier",Paul Cezanne,$60.5
 Haystacks,Claude Monet,$110.7
 Haystacks,Claude Monet,$81.4
 Nympheas en Fleur,Claude Monet,$84.68
 Spring (Jeanne Demarsy),Edouard Manet,$65
 Nympheas,Claude Monet,$43.72
 Danseuse en Repos,Edgar Degas,$37
 Self-Portrait with a Palette,Edouard Manet,£22
 Boulevard Montmartre (Spring Morning),Camille Pissarro,£19.9
 Le Palais Ducal,Claude Monet,£27.53
 Exterieur de la Gare Saint-Lazare,Claude Monet,$32.9
 Exterieur de la Gare Saint-Lazare,Claude Monet,£24.9
 Le Bassin Aux Nympheas,Claude Monet,$31.81
 Poplars,Claude Monet,$22.48
 Nympheas,Claude Monet,£21.00
 Matinée sur la Seine,Claude Monet,$23.37
 Les Glaccons Bennecourt,Claude Monet,$23.37
Vue sur L'Estaque et le Château d'If,Paul Cezanne,£13.522
Le pont d'Argenteuil et la Seine ( The Argenteuil Bridge and the Seine),Gustave Caillebotte,$18.00
Iris mauves (Purple Irises),Claude Monet,£10.83
"Glacons, Effet Blanc",Claude Monet,$16.125
Les meules à Giverny (the Giverny Grainstacks),Claude Monet,$16.405
L'ombrelle,Pierre-Auguste Renoir,£9.67
La Seine a Lavacourt,Claude Monet,$15.83
Jeune fille dans le jardin de Giverny (Young Girl in the Giverny Garden),Claude Monet,$16.06
Effet de neige à Giverny (Snow Effect at Giverny),Claude Monet,$15.00
Danseuses,Edgar Degas,$10.72
Au Parc Monceau,Claude Monet,£6.31
Trois danseuses (Three Dancers),Edgar Degas,$11.925
Lilas et Roses (Lilac and Roses),Edouard Manet,$12.96
"Femme nue couchée, Gabrielle (Gabrielle: Nude woman lying down)",Pierre-Auguste Renoir,$10.16
Jeunes filles jouant au volant (Young Girls Playing at the Wheel),Auguste Renoir,$11.36
Dans les coulisses (In the Wings),Edgar Degas,£9.23
Apres Le Dejeuner (After Lunch),Berthe Morisot,£6.98
"La Rue Saint-Lazare, temps lumineux (Rue Saint-Lazare in Daylight)",Camille Pissarro,$12.35
Au Petit-Gennevilliers,Claude Monet,$11.36
Saule pleureur (Weeping Willow),Claude Monet,£8.90
"La route de Vétheuil, effet de neige",Claude Monet,$11.44
L'Italienne,Edouard Manet,$11.00
Arbres et Maison au bord to l'eau (Trees and House next to the Water),Paul Cezanne,$11.13
Vétheuil,Claude Monet,£7.54
Prairie à Giverny,Claude Monet,£7.54
La source (Nu allongé),Pierre-Auguste Renoir,£5.08
Pommes sur un linge (Apples on a cloth),Paul Cezanne,$9.12
"Bouquet of Gadiolas, Lilies and Dasies (Bouquet de Glaieuls, Lis et Marguerites)",Claude Monet,$9.55
L'Ile aux Orties,Claude Monet,$8.11
Gabrielle Au Miroir (Gabrielle at the Mirror),Pierre-Auguste Renoir,$9.08
Les deux soeurs (The Two Sisters),Pierre-Auguste Renoir,$8.00
La Cote Saint Denis a Pontoise,Paul Cezanne,$8.64
Le Rio de la Salute,Claude Monet,$8.18
"Le Pont de l'Europe, esquisse",Gustave Caillebotte,$8.18
"Buste de femme, de profil",Pierre-Auguste Renoir,$8.18
Nature Morte,Paul Cezanne,$8.13
Le Givre (The Frost),Claude Monet,$8.42
