Painting,Artist,Sale Price
 The Card Players,Paul Cezanne,$338.4 million
 Bal du Moulin de la Galette,Pierre-Auguste Renoir,$78 million
 Mont Saint Victoire,Paul Cezanne,$100 million
 Le Bassin aux Nymphéas,Claude Monet,£40.9 million
" Rideau, Cruchon et Compotier",Paul Cezanne,$60.5 million
 Haystacks,Claude Monet,$110.7 million
 Haystacks,Claude Monet,$81.4 million
 Nympheas en Fleur,Claude Monet,"$84,687,500"
 Spring (Jeanne Demarsy),Edouard Manet,$65 million
 Nympheas,Claude Monet,$43.72 million
 Danseuse en Repos,Edgar Degas,$37 million
 Self-Portrait with a Palette,Edouard Manet,£22 million
 Boulevard Montmartre (Spring Morning),Camille Pissarro,£19.9 million
 Le Palais Ducal,Claude Monet,"£27,534,000"
 Exterieur de la Gare Saint-Lazare,Claude Monet,$32.9 million
 Exterieur de la Gare Saint-Lazare,Claude Monet,£24.9 million
 Le Bassin Aux Nympheas,Claude Monet,"$31,812,500"
 Poplars,Claude Monet,"$22,482,500"
 Nympheas,Claude Monet,"£21,000,000"
 Matinée sur la Seine,Claude Monet,"$23,375,000"
 Les Glaccons Bennecourt,Claude Monet,"$23,372,500"
Vue sur L'Estaque et le Château d'If,Paul Cezanne,£13.522 million
Le pont d'Argenteuil et la Seine ( The Argenteuil Bridge and the Seine),Gustave Caillebotte,"$18,002,500"
Iris mauves (Purple Irises),Claude Monet,"£10,834,500"
"Glacons, Effet Blanc",Claude Monet,$16.125 million
Les meules à Giverny (the Giverny Grainstacks),Claude Monet,$16.405 million
L'ombrelle,Pierre-Auguste Renoir,"£9,673,250"
La Seine a Lavacourt,Claude Monet,"$15,837,500.00 "
Jeune fille dans le jardin de Giverny (Young Girl in the Giverny Garden),Claude Monet,"$16,062,500"
Effet de neige à Giverny (Snow Effect at Giverny),Claude Monet,"$15,000,000"
Danseuses,Edgar Degas,"$10,722,500"
Au Parc Monceau,Claude Monet,"£6,313,250"
Trois danseuses (Three Dancers),Edgar Degas,$11.925 million
Lilas et Roses (Lilac and Roses),Edouard Manet,"$12,968,750"
"Femme nue couchée, Gabrielle (Gabrielle: Nude woman lying down)",Pierre-Auguste Renoir,"$10,162,500"
Jeunes filles jouant au volant (Young Girls Playing at the Wheel),Auguste Renoir,"$11,365,000"
Dans les coulisses (In the Wings),Edgar Degas,"£9,233,750"
Apres Le Dejeuner (After Lunch),Berthe Morisot,"£6,985,250"
"La Rue Saint-Lazare, temps lumineux (Rue Saint-Lazare in Daylight)",Camille Pissarro,"$12,350,000"
Au Petit-Gennevilliers,Claude Monet,"$11,365,000"
Saule pleureur (Weeping Willow),Claude Monet,"£8,901,000"
"La route de Vétheuil, effet de neige",Claude Monet,"$11,447,500"
L'Italienne,Edouard Manet,"$11,000,000"
Arbres et Maison au bord to l'eau (Trees and House next to the Water),Paul Cezanne,"$11,137,400"
Vétheuil,Claude Monet,"£7,546,250"
Prairie à Giverny,Claude Monet,"£7,546,250"
La source (Nu allongé),Pierre-Auguste Renoir,"£5,081,250"
Pommes sur un linge (Apples on a cloth),Paul Cezanne,"$9,125,000"
"Bouquet of Gadiolas, Lilies and Dasies (Bouquet de Glaieuls, Lis et Marguerites)",Claude Monet,"$9,556,800"
L'Ile aux Orties,Claude Monet,"$8,117,000"
Gabrielle Au Miroir (Gabrielle at the Mirror),Pierre-Auguste Renoir,"$9,087,500"
Les deux soeurs (The Two Sisters),Pierre-Auguste Renoir,"$8,005,000"
La Cote Saint Denis a Pontoise,Paul Cezanne,"$8,647,500"
Le Rio de la Salute,Claude Monet,"$8,187,500"
"Le Pont de l'Europe, esquisse",Gustave Caillebotte,"$8,187,500"
"Buste de femme, de profil",Pierre-Auguste Renoir,"$8,187,500"
Nature Morte,Paul Cezanne,"$8,131,000"
Le Givre (The Frost),Claude Monet,"$8,423,480"
